rank,base_seed,verified_sister_seed,verified_sister_high32,verified_portal_tp,no_sister_found_high32_0_65535,eyes,pearls,total,pearl_radius,fortress_distance,blaze_spawner_distance,portal_y,origin_distance,portal_tp,portal_x,portal_y_coord,portal_z,stronghold_x,stronghold_z,chests,source_status
246,960528537,960528537,0,/tp @s 523 38 1242,no,7,5,12,29.223,684.751,688.950,38,1347.625,/tp @s 523 38 1242,523,38,1242,564,1268,"546,37,1260:1;529,37,1270:2;537,37,1256:1;537,37,1249:1",added
247,960664904,52500272456,12,/tp @s -300 29 1152,no,6,6,12,52.211,495.582,592.279,29,1190.422,/tp @s -300 29 1152,-300,29,1152,-300,1124,"-325,30,1134:1;-341,30,1128:1;-310,34,1101:1;-317,34,1161:3",added
248,978486785,13863388673,3,/tp @s 327 -39 -1077,no,6,6,12,137.12,403.339,540.183,-39,1125.548,/tp @s 327 -39 -1077,327,-39,-1077,244,-1068,"252,-36,-1078:1;239,-40,-1084:1;319,-46,-1063:3;192,-38,-1101:1",added
249,984089567,13868991455,3,/tp @s 1328 -1 -393,no,4,8,12,44.933,397.826,439.464,-1,1384.931,/tp @s 1328 -1 -393,1328,-1,-393,1300,-332,"1329,-2,-361:2;1321,-2,-372:2;1339,-8,-376:2;1327,-14,-350:2",added
250,985086044,22459922524,5,/tp @s 784 -2 234,no,8,4,12,58.215,390.663,480.954,-2,818.176,/tp @s 784 -2 234,784,-2,234,756,196,"799,-3,199:2;758,1,182:1;802,-3,257:1",added
251,992799796,18172668980,4,/tp @s -781 11 -441,no,7,5,12,61.303,178.725,276.671,11,896.907,/tp @s -781 11 -441,-781,11,-441,-796,-428,"-793,-6,-433:1;-775,10,-380:1;-767,4,-404:2;-811,0,-414:1",added
252,994174607,,,,yes,8,4,12,47.896,561.052,567.945,17,1032.493,/tp @s 741 17 719,741,17,719,740,756,"758,16,728:2;764,16,761:2",added
253,995078815,9585013407,2,/tp @s 143 11 -1388,no,8,4,12,67.904,364.679,430.190,11,1395.347,/tp @s 143 11 -1388,143,11,-1388,148,-1420,"154,16,-1434:1;159,14,-1407:1;174,24,-1447:2",added
254,996908048,254399978512,59,/tp @s 1224 -10 -482,no,7,5,12,83.696,417.658,484.157,-10,1315.485,/tp @s 1224 -10 -482,1224,-10,-482,1284,-460,"1215,-7,-419:2;1240,-15,-400:2;1195,-13,-458:1",added
255,999149282,999149282,0,/tp @s 1147 -8 665,no,4,8,12,87.167,168.816,334.574,-8,1325.833,/tp @s 1147 -8 665,1147,-8,665,1156,708,"1164,-11,686:3;1165,-15,750:1;1173,-15,742:2;1136,-27,740:2",added
256,1001617482,,,,yes,7,5,12,46.872,299.795,343.811,-37,1040.992,/tp @s -1008 -37 260,-1008,-37,260,-1020,228,"-1030,-32,236:1;-1044,-36,230:1;-1036,-36,235:2;-1021,-38,254:1",added
257,1002473376,9592407968,2,/tp @s 1146 -15 -258,no,6,6,12,52.211,59.465,192.063,-15,1174.683,/tp @s 1146 -15 -258,1146,-15,-258,1172,-236,"1196,-16,-243:2;1196,-16,-250:1;1196,-16,-257:2;1189,-16,-257:1",added
258,1004739415,35364477783,8,/tp @s 719 -33 -974,no,7,5,12,84.018,400.033,524.193,-33,1210.635,/tp @s 719 -33 -974,719,-33,-974,772,-940,"786,-32,-951:3;792,-40,-933:1;728,-34,-965:1",added
259,1009408264,43959081224,10,/tp @s 837 -45 619,no,6,6,12,60.877,50.375,82.216,-45,1041.024,/tp @s 837 -45 619,837,-45,619,804,644,"840,-42,641:3;825,-42,626:1;777,-40,610:2",added
260,1018812200,293076588328,68,/tp @s -418 45 -1393,no,7,5,12,64.296,222.141,298.129,45,1454.363,/tp @s -418 45 -1393,-418,45,-1393,-364,-1388,"-356,44,-1376:1;-384,44,-1387:1;-391,44,-1387:1;-403,44,-1399:2",added
261,1018847615,164227604863,38,/tp @s -978 -34 -394,no,6,6,12,58.224,135.662,184.071,-34,1054.381,/tp @s -978 -34 -394,-978,-34,-394,-1004,-348,"-980,-35,-378:2;-950,-41,-377:1;-940,-41,-351:1;-932,-41,-359:2",added
262,1027094277,,,,yes,5,7,12,56.903,452.685,529.327,31,1458.97,/tp @s -1425 31 -313,-1425,31,-313,-1420,-348,"-1430,30,-340:2;-1452,28,-356:3;-1452,28,-363:1;-1424,30,-327:1",added
263,1031981151,116996098143,27,/tp @s -1024 15 105,no,6,6,12,57.715,388.982,413.055,15,1029.369,/tp @s -1024 15 105,-1024,15,105,-1020,116,"-1015,20,67:1;-1024,8,98:1;-997,14,61:2;-997,14,54:2",added
264,1033389605,1033389605,0,/tp @s 779 24 -783,no,5,7,12,28.196,123.906,173.252,24,1104.504,/tp @s 779 24 -783,779,24,-783,804,-732,"799,23,-778:1;804,23,-770:2;793,23,-777:3;764,23,-761:1",added
265,1035951226,1035951226,0,/tp @s -184 -6 719,no,8,4,12,79.114,465.383,507.208,-6,742.17,/tp @s -184 -6 719,-184,-6,719,-236,724,"-208,-13,733:1;-254,-3,694:2;-259,-3,694:1",added
266,1038959341,5333926637,1,/tp @s -981 -22 104,no,8,4,12,39.737,264.141,345.046,-22,986.497,/tp @s -981 -22 104,-981,-22,104,-972,148,"-974,-19,143:1;-991,-21,124:2;-1005,-21,124:1",added
267,1039155456,13924057344,3,/tp @s 600 -15 688,no,8,4,12,111.687,315.336,331.340,-15,912.877,/tp @s 600 -15 688,600,-15,688,644,692,"638,-16,695:1;632,-16,707:1;707,-16,720:2",added
268,1043187102,1043187102,0,/tp @s 1299 -5 -236,no,8,5,13,25.04,528.051,542.528,-5,1320.264,/tp @s 1299 -5 -236,1299,-5,-236,1252,-236,"1308,-12,-255:2;1300,-6,-261:1;1281,-12,-232:2",added
269,1044487752,26814291528,6,/tp @s 647 -24 767,no,6,6,12,54.351,492.421,539.579,-24,1003.443,/tp @s 647 -24 767,647,-24,767,660,804,"668,-25,787:1;690,-33,799:2;685,-33,770:3",added
270,1056326901,5351294197,1,/tp @s 1280 -3 -326,no,6,6,12,50.646,135.318,157.866,-3,1320.862,/tp @s 1280 -3 -326,1280,-3,-326,1252,-300,"1272,-4,-283:1;1264,0,-327:2;1272,-4,-276:2;1272,0,-324:1",added
271,1056617411,78366028739,18,/tp @s -1297 27 718,no,5,7,12,65.322,94.277,140.611,27,1482.475,/tp @s -1297 27 718,-1297,27,718,-1340,692,"-1311,12,713:2;-1319,0,678:2;-1324,0,665:2;-1306,0,665:1",added
272,1058926274,9648860866,2,/tp @s 1180 -37 653,no,6,6,12,49.508,114.904,195.864,-37,1348.632,/tp @s 1180 -37 653,1180,-37,653,1188,644,"1163,-38,618:1;1145,-38,618:3;1183,-50,643:2",added
273,1060860480,48305500736,11,/tp @s -374 -34 676,no,9,5,14,48.518,613.354,657.011,-34,772.562,/tp @s -374 -34 676,-374,-34,676,-364,692,"-327,-35,688:1;-368,-29,661:1;-359,-35,670:3",added
274,1065302675,56899877523,13,/tp @s 707 -37 -392,no,9,3,12,29.086,238.583,259.649,-37,808.402,/tp @s 707 -37 -392,707,-37,-392,756,-364,"733,-38,-379:1;724,-38,-389:1;695,-44,-386:1",added
275,1065671268,,,,yes,10,2,12,10.724,211.754,299.743,-37,915.765,/tp @s -905 -37 140,-905,-37,140,-908,180,"-900,-46,137:2",added
276,1066289275,22541125755,5,/tp @s 20 36 1488,no,7,5,12,43.943,305.010,382.399,36,1488.134,/tp @s 20 36 1488,20,36,1488,36,1460,"47,35,1477:1;49,35,1483:1;30,35,1450:1;11,35,1445:2",added
277,1072119193,,,,yes,8,4,12,89.633,59.125,120.033,13,990.645,/tp @s 344 13 -929,344,13,-929,388,-940,"375,12,-933:1;366,6,-891:1;396,14,-856:1;366,6,-884:1",added
278,1084604787,151408460147,35,/tp @s 176 -6 1278,no,7,5,12,98.798,440.672,504.558,-6,1290.062,/tp @s 176 -6 1278,176,-6,1278,196,1252,"238,-7,1231:3;230,-17,1196:1;188,-13,1241:1",added
279,1084932574,,,,yes,6,6,12,63.514,364.168,453.444,11,975.873,/tp @s 682 11 698,682,11,698,692,740,"711,16,673:2;690,16,690:1;745,10,690:2;701,16,668:1",added
280,1087066083,78396477411,18,/tp @s -887 38 643,no,4,8,12,53.245,144.425,148.628,38,1095.545,/tp @s -887 38 643,-887,38,643,-924,628,"-902,31,629:2;-931,43,647:2;-930,43,674:3;-899,37,670:1",added
281,1088742048,13973643936,3,/tp @s -377 1 -963,no,7,5,12,82.789,393.669,397.878,1,1034.165,/tp @s -377 1 -963,-377,1,-963,-428,-956,"-445,18,-954:2;-432,20,-948:1;-458,18,-961:1;-399,8,-932:1",added
282,1090823101,65515332541,15,/tp @s 1250 35 -386,no,7,5,12,78.467,292.379,365.428,35,1308.242,/tp @s 1250 35 -386,1250,35,-386,1300,-396,"1282,34,-385:2;1328,32,-394:1;1320,32,-386:2",added
283,1091309750,48335950006,11,/tp @s -1372 -4 95,no,6,6,12,29.086,183.479,222.665,-4,1375.285,/tp @s -1372 -4 95,-1372,-4,95,-1340,100,"-1356,-5,112:2;-1382,-5,102:2;-1364,-13,106:1;-1383,-11,121:1",added
284,1097384250,13982286138,3,/tp @s -908 11 615,no,8,4,12,53.638,195.500,355.061,11,1096.672,/tp @s -908 11 615,-908,11,615,-924,644,"-916,24,634:2;-921,10,609:1;-948,22,649:1",added
285,1103587816,48348228072,11,/tp @s -879 -35 850,no,7,5,12,49.051,26.778,56.569,-35,1222.76,/tp @s -879 -35 850,-879,-35,850,-956,804,"-910,-36,812:1;-864,-34,838:2;-859,-38,818:2",added
286,1107122134,91301435350,21,/tp @s -358 -26 1182,no,8,4,12,44.396,556.101,639.778,-26,1235.026,/tp @s -358 -26 1182,-358,-26,1182,-332,1220,"-315,-27,1171:1;-332,-17,1198:2;-367,-27,1167:1",added
287,1108731519,,,,yes,7,5,12,72.229,238.278,282.246,-47,997.614,/tp @s 295 -47 -953,295,-47,-953,340,-892,"365,-36,-939:2;346,-42,-934:1;329,-42,-959:1;309,-42,-955:1",added
288,1109551440,1109551440,0,/tp @s 807 -27 -813,no,8,4,12,31.639,399.686,458.526,-27,1145.521,/tp @s 807 -27 -813,807,-27,-813,772,-796,"780,-28,-807:2;781,-26,-795:1;794,-28,-819:1",added
289,1113872718,1113872718,0,/tp @s 354 28 -755,no,6,6,12,69.649,392.092,457.008,28,833.871,/tp @s 354 28 -755,354,28,-755,324,-780,"359,21,-728:1;323,15,-694:1;337,15,-734:3;365,17,-758:1",added
290,1121596164,5416563460,1,/tp @s -352 -28 -889,no,7,5,12,46.872,334.195,468.359,-28,956.151,/tp @s -352 -28 -889,-352,-28,-889,-364,-876,"-352,-37,-843:1;-369,-29,-897:2;-336,-31,-854:1;-340,-31,-882:1",added
291,1122211160,1122211160,0,/tp @s -1015 4 -320,no,6,6,12,38.341,237.298,301.008,4,1064.249,/tp @s -1015 4 -320,-1015,4,-320,-988,-284,"-1016,-1,-282:3;-1031,-3,-300:2;-1037,-9,-311:1",added
292,1123987851,,,,yes,4,8,12,30.871,136.366,272.200,20,1188.268,/tp @s 1134 20 -355,1134,20,-355,1220,-364,"1151,19,-346:3;1140,21,-331:1;1126,17,-337:3;1164,13,-357:1",added
293,1126849657,,,,yes,5,7,12,48.425,93.487,216.892,3,877.378,/tp @s -872 3 97,-872,3,97,-924,116,"-894,4,125:1;-920,8,93:2;-885,4,84:2;-892,4,84:2",added
294,1130403194,26900206970,6,/tp @s -448 -36 606,no,7,5,12,70.901,502.794,538.932,-36,753.618,/tp @s -448 -36 606,-448,-36,606,-412,580,"-426,-37,612:2;-394,-35,579:1;-381,-39,583:2",added
295,1132704310,,,,yes,6,6,12,77.936,153.064,228.826,31,1455.258,/tp @s 1409 31 -364,1409,31,-364,1364,-380,"1332,30,-376:2;1367,16,-399:1;1385,32,-359:1;1395,16,-360:2",added
296,1137587517,78446998845,18,/tp @s -888 -30 303,no,7,5,12,40.237,271.220,287.904,-30,938.271,/tp @s -888 -30 303,-888,-30,303,-876,308,"-853,-17,288:1;-853,-17,313:2;-862,-31,310:1;-868,-25,310:1",added
297,1138463706,,,,yes,8,4,12,93.327,159.531,178.508,1,1441.799,/tp @s 72 1 -1440,72,1,-1440,148,-1436,"165,6,-1434:1;160,10,-1445:1;147,8,-1428:2",added
298,1140708574,61270250718,14,/tp @s -545 -46 1216,no,6,6,12,108.508,951.490,985.787,-46,1332.547,/tp @s -545 -46 1216,-545,-46,1216,-476,1204,"-438,-47,1198:2;-459,-49,1163:2;-473,-47,1172:2",added
299,1144054901,22618891381,5,/tp @s 160 -20 -1451,no,4,8,12,30.676,395.539,510.156,-20,1459.795,/tp @s 160 -20 -1451,160,-20,-1451,164,-1468,"156,-15,-1421:2;148,-15,-1452:2;153,-15,-1444:2;153,-15,-1458:2",added
300,1145437875,,,,yes,7,5,12,87.869,435.189,484.053,-47,1360.178,/tp @s -1326 -47 303,-1326,-47,303,-1308,324,"-1288,-50,343:1;-1266,-52,346:2;-1266,-52,353:1;-1266,-52,367:1",added
301,1146069304,14030971192,3,/tp @s -353 -5 855,no,5,7,12,47.021,164.127,206.307,-5,925.005,/tp @s -353 -5 855,-353,-5,855,-380,820,"-358,-2,816:2;-358,-2,833:1;-352,-6,841:2;-352,-6,808:2",added
302,1151602324,121410686612,28,/tp @s -1409 25 86,no,9,3,12,67.513,145.218,275.026,25,1411.622,/tp @s -1409 25 86,-1409,25,86,-1388,52,"-1420,34,27:1;-1420,34,20:1;-1379,26,78:1",added
303,1152440063,112821589759,26,/tp @s 1277 -30 671,no,7,5,12,109.229,25.875,59.405,-30,1442.557,/tp @s 1277 -30 671,1277,-30,671,1284,708,"1290,-23,738:1;1348,-31,754:2;1346,-21,708:2",added
304,1155927647,56990502495,13,/tp @s -885 -24 168,no,8,4,12,61.693,401.253,412.475,-24,900.805,/tp @s -885 -24 168,-885,-24,168,-908,148,"-892,-25,156:1;-873,-25,150:2;-931,-21,127:1",added
305,1160513949,82764892573,19,/tp @s -413 1 794,no,7,5,12,37.283,440.059,510.270,1,894.989,/tp @s -413 1 794,-413,1,794,-364,804,"-392,-6,824:1;-412,0,826:2;-424,-12,799:2",added
306,1161534794,5456502090,1,/tp @s -307 11 1425,no,6,6,12,75.644,643.802,730.555,11,1457.695,/tp @s -307 11 1425,-307,11,1425,-300,1396,"-283,18,1391:3;-274,12,1448:2;-239,8,1458:1",added
307,1161677682,5456644978,1,/tp @s 1226 -11 525,no,6,6,12,45.31,403.038,484.215,-11,1333.679,/tp @s 1226 -11 525,1226,-11,525,1220,564,"1214,-22,534:1;1200,-20,561:2;1220,-12,540:1;1191,-18,531:2",added
308,1168304724,39823010388,9,/tp @s 814 -5 -1216,no,7,5,12,45.552,549.745,611.967,-5,1463.302,/tp @s 814 -5 -1216,814,-5,-1216,804,-1228,"797,-6,-1215:2;812,-14,-1185:1;775,-10,-1239:2",added
309,1168583575,22643420055,5,/tp @s -204 -7 1389,no,5,7,12,28.723,250.849,340.552,-7,1403.901,/tp @s -204 -7 1389,-204,-7,1389,-220,1348,"-184,-12,1369:3;-214,-14,1375:2;-209,-14,1406:1;-221,-14,1407:1",added
310,1169256662,1169256662,0,/tp @s -768 -28 -480,no,4,8,12,53.009,446.055,515.475,-28,905.662,/tp @s -768 -28 -480,-768,-28,-480,-780,-476,"-767,-23,-514:2;-782,-29,-506:2;-744,-23,-527:2;-794,-29,-513:2",added
311,1179721254,22654557734,5,/tp @s 703 -12 596,no,5,7,12,46.336,37.510,59.220,-12,921.643,/tp @s 703 -12 596,703,-12,596,740,676,"680,-17,611:2;730,-19,633:1;723,-29,609:2;702,-19,602:2",added
312,1206991084,14091892972,3,/tp @s 687 -19 -922,no,6,6,12,43.738,418.249,493.878,-19,1149.806,/tp @s 687 -19 -922,687,-19,-922,676,-956,"653,-10,-948:2;682,-38,-896:1;700,-28,-914:1;687,-28,-913:2",added
313,1207030525,61336572669,14,/tp @s 892 35 305,no,6,6,12,82.91,170.285,298.693,35,942.703,/tp @s 892 35 305,892,35,305,852,276,"895,44,253:1;844,44,238:3;907,44,269:1;885,28,290:1",added
314,1213790754,26983594530,6,/tp @s 683 -41 -1020,no,7,5,12,90.526,130.390,246.187,-41,1227.554,/tp @s 683 -41 -1020,683,-41,-1020,724,-1036,"732,-32,-1024:1;712,-42,-1004:2;686,-42,-1027:1;768,-44,-989:1",added
315,1214155337,18394024521,4,/tp @s 1135 -48 162,no,5,7,12,94.181,202.887,272.585,-48,1146.503,/tp @s 1135 -48 162,1135,-48,162,1156,116,"1149,-45,150:2;1116,-45,109:2;1121,-59,112:1;1189,-53,85:2",added
316,1224641059,91418954275,21,/tp @s 174 -16 -1426,no,6,6,12,38.393,193.374,315.607,-16,1436.576,/tp @s 174 -16 -1426,174,-16,-1426,196,-1420,"183,-11,-1418:2;186,-11,-1426:3;142,-13,-1405:1",added
317,1227265399,44176938359,10,/tp @s -454 -18 -1331,no,7,5,12,62.145,617.990,718.037,-18,1406.299,/tp @s -454 -18 -1331,-454,-18,-1331,-428,-1308,"-416,-19,-1330:2;-434,-25,-1330:1;-392,-21,-1328:2",added
318,1234102720,1234102720,0,/tp @s 752 -1 -818,no,8,4,12,66.618,120.611,190.201,-1,1111.138,/tp @s 752 -1 -818,752,-1,-818,724,-812,"725,0,-858:1;755,8,-822:1;722,2,-774:1;713,0,-872:1",added
319,1235073808,1235073808,0,/tp @s -1411 -24 273,no,7,5,12,45.706,1035.028,1096.285,-24,1437.167,/tp @s -1411 -24 273,-1411,-24,273,-1388,244,"-1386,-21,272:2;-1367,-27,285:1;-1394,-31,266:2",added
320,1238461720,100022709528,23,/tp @s -836 -16 -491,no,7,5,12,88.125,373.168,428.542,-16,969.524,/tp @s -836 -16 -491,-836,-16,-491,-796,-508,"-821,-23,-499:2;-822,-23,-474:1;-827,-33,-577:2",added
321,1238663040,5533630336,1,/tp @s 719 -1 113,no,7,5,12,32.265,88.367,144.395,-1,727.826,/tp @s 719 -1 113,719,-1,113,740,148,"732,-2,130:2;720,2,145:1;747,-2,97:2",added
322,1240831230,31305602302,7,/tp @s -759 -40 718,no,7,6,13,79.316,240.860,332.444,-40,1044.799,/tp @s -759 -40 718,-759,-40,718,-748,772,"-745,-41,711:3;-720,-37,787:2;-727,-37,787:1",added
323,1242536895,,,,yes,7,5,12,39.306,45.078,97.795,-59,757.333,/tp @s 685 -59 -323,685,-59,-323,692,-332,"674,-42,-306:1;700,-60,-317:2;700,-48,-299:1;705,-48,-291:1",added
324,1244606064,,,,yes,6,6,12,69.649,878.128,922.647,-46,1203.765,/tp @s -869 -46 -833,-869,-46,-833,-812,-876,"-828,-47,-859:2;-804,-45,-858:1;-847,-47,-853:1;-868,-41,-855:2",added
325,1244870049,61374412193,14,/tp @s -1474 7 274,no,7,5,12,48.939,174.211,191.581,7,1499.25,/tp @s -1474 7 274,-1474,7,274,-1516,260,"-1504,10,290:1;-1493,10,319:2;-1488,10,284:2",added
326,1247846434,22722682914,5,/tp @s 132 -18 -1379,no,8,4,12,62.314,84.480,190.500,-18,1385.303,/tp @s 132 -18 -1379,132,-18,-1379,164,-1372,"138,-25,-1382:1;141,-27,-1440:1;163,-31,-1387:2",added
327,1251292133,95740572645,22,/tp @s 1202 -9 301,no,5,7,12,60.216,324.283,327.511,-9,1239.115,/tp @s 1202 -9 301,1202,-9,301,1172,260,"1168,-8,268:2;1193,-10,286:2;1207,-10,241:1;1218,-10,286:2",added
328,1257720559,,,,yes,7,5,12,64.335,262.606,305.176,11,995.609,/tp @s -966 11 -241,-966,11,-241,-940,-268,"-968,14,-266:1;-955,18,-304:1;-965,8,-273:1;-941,10,-240:2",added
329,1261700694,31326471766,7,/tp @s 216 -35 -1334,no,6,6,12,73.396,463.614,529.970,-35,1351.374,/tp @s 216 -35 -1334,216,-35,-1334,180,-1324,"211,-36,-1290:1;201,-44,-1304:1;215,-42,-1335:1;191,-34,-1265:3",added
330,1271671255,9861605847,2,/tp @s -262 22 1303,no,7,5,12,43.324,223.298,261.068,22,1329.08,/tp @s -262 22 1303,-262,22,1303,-252,1316,"-230,33,1328:1;-270,29,1302:2;-270,29,1345:2",added
331,1274137854,48518778110,11,/tp @s 98 -21 -1474,no,6,6,12,49.739,339.958,364.764,-21,1477.254,/tp @s 98 -21 -1474,98,-21,-1474,116,-1452,"135,-32,-1450:1;141,-28,-1498:3;87,-28,-1481:2",added
332,1275123975,138714077447,32,/tp @s 1323 12 87,no,6,6,12,46.487,453.048,523.608,12,1325.857,/tp @s 1323 12 87,1323,12,87,1332,100,"1323,11,106:1;1340,13,112:2;1329,9,133:2;1337,9,125:1",added
333,1275425714,5570393010,1,/tp @s 100 23 -1319,no,6,6,12,60.473,403.386,515.124,23,1322.785,/tp @s 100 23 -1319,100,23,-1319,132,-1340,"85,22,-1321:2;116,14,-1289:1;128,12,-1319:1;140,12,-1275:2",added
334,1279921462,18459790646,4,/tp @s -799 39 270,no,6,6,12,59.144,474.695,503.164,39,843.387,/tp @s -799 39 270,-799,39,270,-748,276,"-740,38,274:2;-819,20,247:2;-819,20,264:2",added
335,1279942792,22754779272,5,/tp @s -887 1 -332,no,6,6,12,46.271,613.842,736.725,1,947.097,/tp @s -887 1 -332,-887,1,-332,-908,-380,"-891,-2,-378:2;-902,0,-372:2;-868,0,-352:2",added
336,1280938759,1280938759,0,/tp @s -783 30 161,no,7,5,12,46.915,359.062,363.199,30,799.381,/tp @s -783 30 161,-783,30,161,-796,196,"-809,39,199:2;-758,29,193:1;-764,35,182:2",added
337,1282670392,,,,yes,9,4,13,44.956,686.849,691.017,0,890.25,/tp @s 128 0 -881,128,0,-881,132,-940,"124,-1,-920:2;137,-1,-896:1;172,-7,-887:1",added
338,1285973947,1285973947,0,/tp @s -769 -37 237,no,6,6,12,72.353,567.152,705.758,-37,804.692,/tp @s -769 -37 237,-769,-37,237,-812,212,"-790,-38,222:1;-753,-38,212:3;-822,-42,188:2",added
339,1285982080,9875916672,2,/tp @s -796 -3 263,no,8,4,12,73.986,200.337,285.232,-3,838.323,/tp @s -796 -3 263,-796,-3,263,-860,244,"-811,-2,286:2;-811,-2,293:1;-844,-22,210:1",added
340,1290178373,31354949445,7,/tp @s 319 -14 -1301,no,6,6,12,80.753,302.113,382.426,-14,1339.538,/tp @s 319 -14 -1301,319,-14,-1301,324,-1340,"299,-17,-1332:1;271,-3,-1365:1;278,1,-1359:2;304,-13,-1343:2",added
341,1292580179,65717089619,15,/tp @s -1292 -23 590,no,5,7,12,41.725,440.363,527.988,-23,1420.339,/tp @s -1292 -23 590,-1292,-23,590,-1292,628,"-1272,-22,603:2;-1266,-20,621:1;-1273,-24,585:2;-1258,-20,614:2",added
342,1294016530,35653754898,8,/tp @s -264 33 -1055,no,5,7,12,81.456,257.540,333.233,33,1087.53,/tp @s -264 33 -1055,-264,33,-1055,-284,-1036,"-278,32,-1043:2;-258,26,-1058:2;-251,26,-1041:2;-187,8,-1064:1",added
343,1296025116,,,,yes,6,6,12,61.408,505.991,601.538,-39,781.146,/tp @s 765 -39 158,765,-39,158,820,180,"826,-46,159:2;773,-40,171:2;787,-40,141:2",added
344,1298252569,,,,yes,9,3,12,48.394,216.163,266.478,-16,940.715,/tp @s -929 -16 -148,-929,-16,-148,-908,-188,"-900,-9,-177:1;-944,-17,-194:1;-931,-11,-166:1",added
345,1299521186,130148540066,30,/tp @s -457 -32 1329,no,7,6,13,81.111,334.154,359.177,-32,1405.379,/tp @s -457 -32 1329,-457,-32,1329,-396,1348,"-444,-39,1338:1;-440,-41,1374:1;-378,-49,1336:2;-394,-35,1358:2",added
346,1300057061,,,,yes,7,5,12,81.308,817.240,879.956,-32,851.24,/tp @s 817 -32 239,817,-32,239,852,260,"817,-21,220:2;898,-27,234:3",added
347,1301920366,70021397102,16,/tp @s 704 -23 -783,no,7,5,12,46.851,170.603,264.071,-23,1052.951,/tp @s 704 -23 -783,704,-23,-783,708,-812,"722,-22,-810:2;735,-22,-803:1;729,-16,-804:1;729,-16,-822:1",added
348,1302693235,27072497011,6,/tp @s -727 25 -444,no,7,5,12,52.783,141.237,169.400,25,851.86,/tp @s -727 25 -444,-727,25,-444,-716,-396,"-728,16,-428:1;-693,12,-432:1;-693,12,-415:2;-754,14,-400:1",added
349,1304584706,190283145730,44,/tp @s 1216 -17 -877,no,6,6,12,54.461,362.568,441.541,-17,1499.261,/tp @s 1216 -17 -877,1216,-17,-877,1188,-908,"1203,-18,-896:2;1201,-28,-893:3;1189,-28,-831:1",added
350,1304642342,,,,yes,7,5,12,28.531,60.910,183.238,-12,1276.911,/tp @s 174 -12 1265,174,-12,1265,148,1268,"169,-13,1285:1;163,-13,1290:1;168,-13,1279:2;156,-19,1244:1",added
351,1311629966,117275746958,27,/tp @s -400 -26 732,no,7,5,12,62.442,415.706,488.304,-26,834.161,/tp @s -400 -26 732,-400,-26,732,-380,772,"-390,-27,725:2;-397,-27,725:1;-367,-27,679:1;-362,-27,687:1",added
352,1320468343,,,,yes,6,6,12,91.225,35.625,122.294,-41,1249.42,/tp @s -933 -41 831,-933,-41,831,-908,868,"-883,-54,856:1;-907,-42,877:2;-907,-42,890:2;-868,-42,895:1",added
353,1321748926,1321748926,0,/tp @s -321 -21 788,no,4,8,12,51.41,50.703,82.987,-21,850.873,/tp @s -321 -21 788,-321,-21,788,-316,740,"-323,-20,751:2;-290,-22,747:1;-295,-18,753:3;-314,-28,769:2",added
354,1324035177,1324035177,0,/tp @s -1408 18 -455,no,7,5,12,39.724,407.988,531.936,18,1479.692,/tp @s -1408 18 -455,-1408,18,-455,-1388,-444,"-1380,25,-432:2;-1380,5,-480:1;-1395,23,-431:1;-1411,25,-449:1",added
355,1327637366,1327637366,0,/tp @s -322 44 1433,no,6,6,12,49.83,422.166,525.033,44,1468.732,/tp @s -322 44 1433,-322,44,1433,-300,1444,"-290,39,1461:1;-305,43,1413:2;-284,43,1438:1;-277,31,1416:2",added
356,1335572394,18515441578,4,/tp @s -1271 31 690,no,5,7,12,59.422,0.000,78.785,31,1446.216,/tp @s -1271 31 690,-1271,31,690,-1244,660,"-1239,30,691:3;-1251,30,678:1;-1212,38,689:3",added
357,1339474334,14224376222,3,/tp @s 741 19 877,no,4,8,12,20.273,742.878,859.745,19,1148.133,/tp @s 741 19 877,741,19,877,724,884,"732,28,874:3;748,18,858:2;742,18,863:2;749,26,885:1",added
358,1340963193,1340963193,0,/tp @s -228 -16 -999,no,7,5,12,113.534,706.144,827.869,-16,1024.688,/tp @s -228 -16 -999,-228,-16,-999,-252,-1052,"-216,-13,-1016:1;-190,-19,-1047:1;-208,-3,-1110:3",added
359,1344917425,14229819313,3,/tp @s -1344 -32 138,no,4,8,12,98.858,284.254,288.161,-32,1351.066,/tp @s -1344 -32 138,-1344,-32,138,-1324,100,"-1264,-35,80:3;-1314,-39,147:2;-1330,-39,152:1;-1303,-35,91:2",added
360,1352410694,57186985542,13,/tp @s 536 -50 -1373,no,7,5,12,30.381,536.665,574.744,-50,1473.915,/tp @s 536 -50 -1373,536,-50,-1373,564,-1388,"549,-45,-1400:2;533,-41,-1380:3",added
361,1352928532,9942863124,2,/tp @s -1416 23 138,no,7,5,12,72.263,161.453,241.921,23,1422.709,/tp @s -1416 23 138,-1416,23,138,-1388,116,"-1405,18,118:2;-1367,0,135:1;-1345,14,148:1;-1383,18,172:1",added
362,1357387468,9947322060,2,/tp @s 1252 13 206,no,4,8,12,71.428,290.570,332.444,13,1268.834,/tp @s 1252 13 206,1252,13,206,1236,244,"1241,22,260:2;1261,24,276:2;1266,24,220:3;1253,22,222:1",added
363,1358767545,1358767545,0,/tp @s -495 19 -844,no,7,5,12,34.191,102.304,141.344,19,978.448,/tp @s -495 19 -844,-495,19,-844,-508,-796,"-475,18,-827:2;-483,18,-819:1;-506,24,-842:1;-483,18,-812:1",added
