rank,base_seed,verified_sister_seed,verified_sister_high32,verified_portal_tp,no_sister_found_high32_0_65535,eyes,pearls,total,pearl_radius,fortress_distance,blaze_spawner_distance,portal_y,origin_distance,portal_tp,portal_x,portal_y_coord,portal_z,stronghold_x,stronghold_z,chests,source_status
161,609551557,17789420741,4,/tp @s -1445 1 14,no,6,6,12,51.284,444.483,545.927,1,1445.068,/tp @s -1445 1 14,-1445,1,14,-1452,36,"-1459,0,26:1;-1486,-6,-16:1;-1439,-6,13:2;-1445,-12,29:2",added
162,612625534,22087462014,5,/tp @s -308 0 888,no,6,6,12,60.679,102.500,168.328,0,939.898,/tp @s -308 0 888,-308,0,888,-268,852,"-260,7,858:2;-253,9,864:1;-272,5,881:1;-293,-1,882:2",added
163,613712152,613712152,0,/tp @s -988 -8 766,no,5,7,12,49.94,113.824,186.874,-8,1250.16,/tp @s -988 -8 766,-988,-8,766,-1020,788,"-1009,-9,767:1;-991,-7,776:1;-995,-9,789:2;-1015,-9,808:3",added
164,618409154,,,,yes,7,5,12,48.683,259.923,329.514,11,1077.758,/tp @s 351 11 -1019,351,11,-1019,324,-988,"337,14,-995:1;338,10,-1013:1;324,2,-1001:1;331,0,-976:2",added
165,618670114,4913637410,1,/tp @s -1399 -37 -317,no,9,3,12,52.44,791.188,856.337,-37,1434.465,/tp @s -1399 -37 -317,-1399,-37,-317,-1356,-300,"-1402,-46,-313:1;-1448,-42,-335:2",added
166,620081029,13504982917,3,/tp @s 951 -32 -348,no,5,7,12,45.629,151.131,213.451,-32,1012.672,/tp @s 951 -32 -348,951,-32,-348,916,-348,"910,-33,-328:2;914,-39,-361:1;950,-33,-362:3;928,-39,-341:1",added
167,622222298,9212156890,2,/tp @s 1273 -42 79,no,6,6,12,44.113,130.324,220.850,-42,1275.449,/tp @s 1273 -42 79,1273,-42,79,1300,100,"1290,-29,91:1;1296,-31,108:1;1285,-33,95:2;1296,-31,115:2",added
168,624709924,17804579108,4,/tp @s 1282 -16 234,no,7,5,12,39.268,336.159,408.008,-16,1303.181,/tp @s 1282 -16 234,1282,-16,234,1252,212,"1276,-11,225:1;1302,-17,213:2;1275,-23,272:2",added
169,634789055,,,,yes,6,6,12,85.849,184.845,219.991,-22,1024.82,/tp @s -356 -22 -961,-356,-22,-961,-396,-892,"-405,-19,-896:1;-381,-19,-896:1;-412,-19,-896:2;-349,-21,-887:2",added
170,636656929,,,,yes,7,5,12,76.929,253.029,256.816,-2,1367.671,/tp @s 1333 -2 -306,1333,-2,-306,1332,-348,"1347,1,-300:1;1342,1,-295:2;1395,5,-351:2",added
171,640336327,4935303623,1,/tp @s -1040 -40 416,no,6,6,12,68.746,546.249,560.803,-40,1120.114,/tp @s -1040 -40 416,-1040,-40,416,-1004,388,"-1021,-31,360:1;-1014,-31,353:1;-1029,-41,402:2;-1004,-41,402:2",added
172,640750573,17820619757,4,/tp @s -963 17 -782,no,7,5,12,37.656,117.320,160.220,17,1240.521,/tp @s -963 17 -782,-963,17,-782,-940,-828,"-946,10,-768:1;-957,12,-771:1;-951,10,-747:2;-976,2,-760:1",added
173,644010987,,,,yes,7,5,12,42.308,312.975,340.455,-43,875.721,/tp @s 778 -43 -402,778,-43,-402,756,-380,"765,-34,-378:1;771,-34,-397:2;749,-36,-372:2",added
