32343823	1268,52	10
80127260	-220,-1292	10
83906075	228,1156	10
96499591	244,-972	10
99396066	644,724	10
158682386	340,-1004	10
181286793	-460,852	10
200781039	-956,-316	10
303202794	756,-236	10
355942600	1300,-812	10
553102619	1316,-428	10
588335492	756,1252	10
628865848	1332,-540	10
644593567	1428,228	10
655704958	-908,788	10
690460969	-476,-796	10
702003680	932,116	10
721965750	-860,196	10
727241191	-476,756	10
785236424	228,-1468	10
795230845	932,-476	10
803492302	-364,1252	10
818654440	708,-940	10
824266125	-828,-300	10
872400934	-396,-972	10
992363277	292,1364	10
1040146737	1236,756	10
1065671268	-908,180	10
1077004028	-508,1268	10
1090675883	-860,708	10
1183404460	-1324,356	10
1207710454	-300,1172	10
1252328580	-812,1204	10
1282973406	-876,740	10
1347579693	-412,1332	10
1357811009	-1308,-348	10
1384284582	-844,-908	10
1425976478	260,1428	10
1446463831	692,-828	10
1475859677	1252,244	10
1490568442	-1052,-412	10
1492685471	708,-1052	10
1522956196	-1020,276	10
1529122897	20,-1516	10
1549076399	212,-1436	10
1558708826	1396,292	10
1560634049	660,868	10
1673110780	-1436,228	10
1686372995	1268,-812	10
1708163029	-844,84	10
1716087864	-796,1220	11
1762218061	1396,212	10
1793226094	1300,196	10
1793667770	-300,-812	10
1802577170	-812,548	10
1838453141	-764,116	10
1844039146	68,-1404	10
1852636665	212,788	10
1915415533	-812,260	10
1933277848	-860,180	10
2048595882	772,1316	10
2074137811	-908,836	10
2079802245	-860,1220	10
2084905913	84,-844	10
2097468458	692,-764	10
2123332922	-860,708	10
2154219661	148,836	10
2158064578	-892,244	10
2166229553	-476,1140	11
2186676422	-860,-316	10
2187450221	-220,-1356	10
2235157692	-1452,244	10
2303871802	900,-844	10
2407893965	-284,-1340	10
2429768129	-780,1284	10
2560782779	-1404,116	10
2607027962	-748,-732	10
2630529180	1364,52	10
2632611819	-876,708	10
2647792764	-1452,-380	10
2660596750	-300,-908	10
2712574777	-956,-508	10
2791884096	1380,-268	11
2833621227	196,1236	10
2875060140	180,1268	10
2901360168	1412,244	10
2927909027	1348,132	10
3011498031	-380,580	10
3029845563	612,-764	10
3035064959	-844,1156	10
3104048816	164,1300	10
3109606171	228,-1084	10
3118576839	852,-1020	10
3123573179	676,1140	10
3123814256	-284,-988	10
3170477628	-876,-380	10
3182353852	-1356,-396	10
3211796138	68,-1404	10
3223018492	788,-844	10
3249379970	-316,1220	10
3278517446	-924,308	10
3362981684	-316,1284	10
3366988225	1284,-316	10
3368033270	196,852	10
3386117468	804,756	10
3446708832	-348,836	10
3471285803	-412,724	10
3501659037	308,-1436	10
3553397127	1204,-796	10
3564505935	-1276,-364	10
3601423355	-1356,-364	10
3651426096	772,-476	10
3652946797	-892,-300	10
3708634935	-1020,-316	10
3728213146	-972,900	10
3738016469	-236,1284	10
3771835188	1140,788	11
3777093548	900,-716	10
3796362822	708,-252	10
3839346279	1172,212	10
3843652886	228,1156	10
3926290702	-780,100	10
3990242376	820,196	10
4012429876	-828,-332	10
4117826204	1300,36	10
4145284616	1268,180	10
4148609320	660,1204	11
4237408929	836,116	10
4265308437	1252,-300	10
4290555916	-1356,276	10
